,Sachkonten - Buchungen,,,,,,,,,,,
,,,,,,,,,,,,
,Gesendet um: ,09.02.2026 11:09:00 CET,,,,,,,,,,
,Daten benutzerbasiert: ,Thomas Gottschalk,,,,,,,,,,
,Berechtigungskontext: ,* (Keine Einschränkungen),,,,,,,,,,
,,,,,,,,,,,,
,Selektion:,,,,,,,,,,,
,Unternehmen,2 (NetCo Professional Services GmbH),,,,,,,,,,
,Rechnungslegungswerk,4010 (HGB),,,,,,,,,,
,Buchungsperiode/-jahr,001.2023; 002.2023; 003.2023; 004.2023; 005.2023; 006.2023; 007.2023; 008.2023; 009.2023; 010.2023; 011.2023; 012.2023,,,,,,,,,,
,Sachkonto,460100 (Messekosten); 461000 (Werbekosten),,,,,,,,,,
,Anzeigewährung - Umrechnungsdatum,Heute - 09.02.2026,,,,,,,,,,
,,,,,,,,,,,,
,Sachkonto,,Buchungsdatum,Buchungsbeleg,Buchungsbelegposition,Positionstext,Kreditorgeschäftspartner,,Buchungsbelegart,Sollbetrag in Hauswährung,Habenbetrag in Hauswährung,
,460100,Messekosten,31.12.2023,20000000152,1,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"6,791.49 EUR",
,460100,Messekosten,31.08.2023,200000001613,3,Teilnahme 9.Bay.Sicherheitstag J.Stoklas,1010123,Deutsche Sicherheits-Akademie GmbH,Lieferantenrechnung,490.00 EUR,,
,460100,Messekosten,30.06.2023,153,2,UB Kostenart BodyCam-Konferenz,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,"5,651.49 EUR",,
,460100,Messekosten,09.06.2023,200000001129,3,Ausstellergebühr BDWS-Jahresversammlung,1010123,Deutsche Sicherheits-Akademie GmbH,Lieferantenrechnung,650.00 EUR,,
,461000,Werbekosten,31.12.2023,303,12,Korr. Sales Navigator LinkedIn,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,,144.70 EUR,
,461000,Werbekosten,31.12.2023,303,21,AD20 Keyword 15.04.23-15.04.24,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,149.75 EUR,,
,461000,Werbekosten,31.12.2023,303,23,Pressebox Webleads 7/23-6/24 BSK,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,67.25 EUR,,
,461000,Werbekosten,31.12.2023,303,24,Pressebox Webleads 7/23-6/24 BC,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,67.25 EUR,,
,461000,Werbekosten,31.12.2023,342,1,UB Aufwandsart IC,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,,33.26 EUR,
,461000,Werbekosten,31.12.2023,348,6,"WMD, race results, LinkedIn",#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,"1,666.00 EUR",,
,461000,Werbekosten,31.12.2023,20000000153,1,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"16,251.75 EUR",
,461000,Werbekosten,31.12.2023,20000000153,2,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"120,720.21 EUR",
,461000,Werbekosten,31.12.2023,20000000153,3,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"42,292.36 EUR",
,461000,Werbekosten,31.12.2023,20000000153,4,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,11.81 EUR,
,461000,Werbekosten,31.12.2023,20000000153,5,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"1,666.00 EUR",
,461000,Werbekosten,31.12.2023,200000002471,4,Google BSK 12/2023,1010217,Google Ireland Limited,Lieferantenrechnung,"8,492.94 EUR",,
,461000,Werbekosten,31.12.2023,200000002471,5,Google BC 12/2023,1010217,Google Ireland Limited,Lieferantenrechnung,"1,146.76 EUR",,
,461000,Werbekosten,31.12.2023,200000002471,7,Google Marketing 12/2023,1010217,Google Ireland Limited,Lieferantenrechnung,33.35 EUR,,
,461000,Werbekosten,31.12.2023,200000002550,3,Anzeige Zeitschrift Kriminalpolizei,10004066,Verlag Deutsche Polizeiliteratur GmbH,Lieferantenrechnung,"3,300.00 EUR",,
,461000,Werbekosten,31.12.2023,200000002569,3,"Essential Tarif 26.01.-25.02.23,Software",10001454,CleverReach GmbH & Co. KG,Lieferantenrechnung,6.63 EUR,,
